CODE,WINDOWS,WINDOWS,ITEM,UNIT,QTY,RATE,TOTAL
,OMEGA,OMEGA,OMEGA PACK - 900MM UPRIGHT COOKER CANOPY PACK - UPRIGHT COOKER / 900 CANOPY RANGEHOOD / DISHWASHER,PACK,,3147,3147
,OMEGA,OMEGA,- OMEGA 90CM 9 FUNCTION FREESTANDING OVEN OF916FX,EACH,,1899,1899
,OMEGA,OMEGA,- OMEGA 90CM CANOPY RANGEHOOD ORC90X,EACH,,549,549
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
,OMEGA,OMEGA,OMEGA PACK - 900MM UPRIGHT COOKER UNDER CUPBOARD PACK - UPRIGHT COOKER / 900 UNDER CUPBOARD RANGEHOOD / DISHWASHER,PACK,,2947,2947
,OMEGA,OMEGA,- OMEGA 90CM 9 FUNCTION FREESTANDING OVEN OF916FX,EACH,,1899,1899
,OMEGA,OMEGA,- OMEGA 90CM FIXED RANGEHOOD ORF90X,EACH,,349,349
,OMEGA,OMEGA,- OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
,OMEGA,OMEGA,OMEGA 900MM CANOPY RANGEHOOD OPTION - OMEGA 90CM CANOPY RANGEHOOD ORC90X,EACH,,549,549
,OMEGA,OMEGA,OMEGA 900MM UNDER CUPBOARD RANGEHOOD OPTION - OMEGA 90CM FIXED RANGEHOOD ORF90X,EACH,,349,349
,OMEGA,OMEGA,OMEGA DISHWASHER OPTION - OMEGA 60CM FREESTANDING DISHWASHER ODW702XB,EACH,,699,699
,,,,,,,
,,,,,,,
,BLANCO,BLANCO,,,,,
,BLANCO,BLANCO,- BLANCO 60CM ELECTRIC OVEN BOSE65XM,EACH,,899,899
,BLANCO,BLANCO,- BLANCO 60CM CERAMIC COOKTOP BCC604T,EACH,,599,599
,BLANCO,BLANCO,- BLANCO 60CM SLIDE OUT RANGEHOOD BRU53X,EACH,,449,449
,BLANCO,BLANCO,- BLANCO 60CM FREESTANDING DISHWASHER BDW146X,EACH,,799,799
,BLANCO,BLANCO,BLANCO PACK - 600MM ELECTRIC COOKTOP PACK - OVEN / ELECTRIC COOKTOP / SLIDEOUT RANGEHOOD / DISHWASHER,PACK,,2746,2746
,BLANCO,BLANCO,- BLANCO 60CM ELECTRIC OVEN BOSE65XM,EACH,,899,899
